Index,Singer,Song
0,Adele,Rumor Has It
1,Adele,Chasing Pavements
2,Adele,Easy On Me
3,Adele,Hello
4,Adele,Hometown Glory
5,Adele,Rolling In The Deep
6,Adele,Set fire to the rain
7,Adele,Skyfall
8,Adele,Someone Like You
9,Adele,when we were young
10,Ariana Grande,Touch It
11,Ariana Grande,"thank u, next"
12,Ariana Grande,One Last Time
13,Ariana Grande,Into You
14,Ariana Grande,Imagine
15,Ariana Grande,God Is A Woman
16,Ariana Grande,ghostin
17,Ariana Grande,bad idea
18,Ariana Grande,breathin
19,Ariana Grande,No Tears Left To Cry
20,Beyonce,Black Parade
21,Beyonce,Formation
22,Beyonce,Get Me Bodied
23,Beyonce,Hold Up
24,Beyonce,Irreplaceable
25,Beyonce,Love On top
26,Beyonce,Run The World (Girls)
27,Beyonce,Partition
28,Beyonce,Single Ladies
29,Beyonce,sorry
30,Billie Eilish,bad guy
31,Billie Eilish,bellyache
32,Billie Eilish,bury a friend
33,Billie Eilish,everything i wanted
34,Billie Eilish,Happier Than Ever
35,Billie Eilish,my future
36,Billie Eilish,Ocean Eyes
37,Billie Eilish,Oxytocin
38,Billie Eilish,When The Party’s Over
39,Billie Eilish,Your Power
40,Dua Lipa,Blow Your Mind
41,Dua Lipa,Boys Will Be Boys
42,Dua Lipa,Break My Heart
43,Dua Lipa,Don't Start Now
44,Dua Lipa,Homesick
45,Dua Lipa,IDGAF
46,Dua Lipa,Levitating
47,Dua Lipa,New Love
48,Dua Lipa,New Rules
49,Dua Lipa,Physical
50,Ed Sheeran,Bad Habits
51,Ed Sheeran,Castle on the Hill
52,Ed Sheeran,Dont
53,Ed Sheeran,Lego House
54,Ed Sheeran,Perfect
55,Ed Sheeran,Photograph
56,Ed Sheeran,Shape Of You
57,Ed Sheeran,Shivers
58,Ed Sheeran,The A team
59,Ed Sheeran,Thinking Out Loud
60,Justin Bieber,Baby
61,Justin Bieber,Boyfriend
62,Justin Bieber,Heartbreaker
63,Justin Bieber,Love Yourself
64,Justin Bieber,Mistletoe
65,Justin Bieber,One Time
66,Justin Bieber,Somebody To Love
67,Justin Bieber,Sorry
68,Justin Bieber,What Do You Mean
69,Justin Bieber,Yummy
70,Lady Gaga,Alejandro
71,Lady Gaga,Bad Romance
72,Lady Gaga,Born This Way
73,Lady Gaga,hold my hand
74,Lady Gaga,Judas
75,Lady Gaga,Million Reasons
76,Lady Gaga,Paparazzi
77,Lady Gaga,Poker Face
78,Lady Gaga,The Edge Of Glory
79,Lady Gaga,Til it happens to you
80,Taylor Swift,Anti-Hero
81,Taylor Swift,Blank Space
82,Taylor Swift,Cruel Summer
83,Taylor Swift,I Knew You Were Trouble
84,Taylor Swift,Love Story
85,Taylor Swift,Shake It Off
86,Taylor Swift,Style
87,Taylor Swift,We Are Never Ever Getting Back Together
88,Taylor Swift,Wildest Dreams
89,Taylor Swift,You Belong With Me
90,The Weeknd,Blinding Lights
91,The Weeknd,Can't Feel My Face
92,The Weeknd,Earned It
93,The Weeknd,Escape From LA
94,The Weeknd,Gasoline
95,The Weeknd,High For This
96,The Weeknd,Take My Breath
97,The Weeknd,The Hills
98,The Weeknd,The Morning
99,The Weeknd,Wicked Games
